ETC_20150317_000001	Kepa
ETC_20150317_000002	Kepa no es un monstruo fuerte. Sin embargo, atacarlo sin cuidado podría hacerte llorar.
ETC_20150317_000003	Kepa Grande
ETC_20150317_000004	Existen personas que a veces intentan comer Kepas Grandes. No los dejes.
ETC_20150317_000005	Kepa Rojo
ETC_20150317_000006	Contrario a la creencia popular, los Kepas Rojos son los que más se parecen al Kepa original.
ETC_20150317_000007	Kepa Envenenado
ETC_20150317_000008	Monstruo
ETC_20150317_000009	Hamming
ETC_20150317_000010	A pesar de su dura piel, el Hamming es un monstruo muy débil.
ETC_20150317_000011	Chinency
ETC_20150317_000012	Originalmente tallos de una planta, el Chinency desde entonces ha evolucionado a su forma actual.
ETC_20150317_000013	Chinency Mutante
ETC_20150317_000014	Jukopus
ETC_20150317_000015	Se sabe muy poco acerca de la estructura interna del Jukopus.
ETC_20150317_000016	Jukopus Azul
ETC_20150317_000017	Jukopus Gris
ETC_20150317_000018	Dependiendo de su madurez, Este monstruo puede desarrollar diversas técnicas de combate.
ETC_20150317_000019	Pokuborn
ETC_20150317_000020	Pokuborn Amarillo
ETC_20150317_000021	Pokuborn Azul
ETC_20150317_000022	Hay muchas cosas que debes saber sobre este monstruo. Sobre todo, no te dejes golpear por su embestida.
ETC_20150317_000023	Pokuborn Verde
ETC_20150317_000024	Incluso luego de mutar, su carne es aún comestible.
ETC_20150317_000025	Pokubu Azul
ETC_20150317_000026	Banshee
ETC_20150317_000027	Las almas de aquellos que se aventuraron al inframundo ahora aparecen como demonios.
ETC_20150317_000028	Banshee Roja
ETC_20150317_000029	Espíritu Maligno
ETC_20150317_000030	Un alma que no recibió la guía de la Diosa. Fue engendrado a través de control demoníaco.
ETC_20150317_000031	Banshee Grande
ETC_20150317_000032	Panal
ETC_20150317_000033	Panal Azul
ETC_20150317_000034	Panal Gris
ETC_20150317_000035	Panal Rojo
ETC_20150317_000036	Araña Arbustera
ETC_20150317_000037	Rondando entre las sombras del bosque, éste monstruo ha evolucionado su tamaño a lo largo del tiempo.
ETC_20150317_000038	Araña Arbustera Negra
ETC_20150317_000039	Araña Arbustera Roja
ETC_20150317_000040	Araña Arbustera Blanca
ETC_20150317_000041	Araña Arbustera Amarilla
ETC_20150317_000042	Dionia Desagradable
ETC_20150317_000043	Dionia Poza
ETC_20150317_000044	Fragaras Azul
ETC_20150317_000045	Éste monstruo creció, pero no ha cambiado mucho. Incluso en el pasado, solía ser una planta despiadada y letal.
ETC_20150317_000046	Fragaras Azul
ETC_20150317_000047	Fragaras Roja
ETC_20150317_000048	Luchador Vubbe 
ETC_20150317_000049	Luchador Vubbe Azul
ETC_20150317_000050	Luchador Vubbe Rojo
ETC_20150317_000051	Se desconoce si los Vubbes luchadores son entrenados o tienen una aptitud natural para el combate.
ETC_20150317_000052	Golem
ETC_20150317_000053	Golem Gris
ETC_20150317_000054	Meduja
ETC_20150317_000055	Algunos dicen que una Meduja puede ser usada para contactar con las almas de los muertos.
ETC_20150317_000056	Meduja Azul
ETC_20150317_000057	Meduja Verde
ETC_20150317_000058	Meduja Roja
ETC_20150317_000059	Investigadores han afirmado que las plantas tienen alma. Las Meduja son la forma mutada de esas almas.
ETC_20150317_000060	Larva de Meduja
ETC_20150317_000061	Ellaganos
ETC_20150317_000062	Bite
ETC_20150317_000063	Hay gente que preferiría recibir una flecha al mordisco de un Bite.
ETC_20150317_000064	Puragi
