ITEM_20150317_000001	Empty_helmet
ITEM_20150317_000002	Casco de Murmillo
ITEM_20150317_000003	Empty_armband
ITEM_20150317_000004	Brazalete Rojo
ITEM_20150317_000005	Brazalete
ITEM_20150317_000006	Brazalete Anudado
ITEM_20150317_000007	Brazalete Largo
ITEM_20150317_000008	Brazalete de Plumas
ITEM_20150317_000009	Brazalete de Borlas
ITEM_20150317_000010	Empty_weapon
ITEM_20150317_000011	Gladius Vulgar
ITEM_20150317_000012	Espada de 1 mano [Corte]
ITEM_20150317_000013	Un arma habitual en los soldados del Ejército Real. También es común entre los civiles.
ITEM_20150317_000014	Gladius
ITEM_20150317_000015	Esta arma es una versión mejorada de el arma militar.
ITEM_20150317_000016	Falchion Pequeño
ITEM_20150317_000017	Esta espada es excepcional para cortar. 
ITEM_20150317_000018	Kaskara Pequeño
ITEM_20150317_000019	Debido a su facilidad en la fabricación, esta espada es frecuentemente elegida por los aventureros como su primer reemplazo para su espada de entrenamiento. 
ITEM_20150317_000020	Cinquedea
ITEM_20150317_000021	Recomendada para aquellos que desean una espada más pesada y fuerte. 
ITEM_20150317_000022	Sable
ITEM_20150317_000023	Arma principal de la caballería, optimizada para cortar. El escudo de la empuñadura ayuda a proteger la mano del usuario. 
ITEM_20150317_000024	Shamshir
ITEM_20150317_000025	La hoja larga de media luna corta con un poder inmenso.
ITEM_20150317_000026	Cimitarra
ITEM_20150317_000027	Su gran peso está compensado y tiene un corte poderoso. 
ITEM_20150317_000028	Kris
ITEM_20150317_000029	Su hoja retorcida amplifica el daño que inflige. Una espada practica y estética. 
ITEM_20150317_000030	Puñal
ITEM_20150317_000031	Su hoja muy afilada hace que sea una de las favoritas entre los espadachines, incluso para los más experimentados. 
ITEM_20150317_000032	Shamshir Vulgar
ITEM_20150317_000033	Cimitarra Vulgar
ITEM_20150317_000034	Gladius de Soldado
ITEM_20150317_000035	Armamento básico proporcionado a los soldados a tiempo completo. Su calidad general es mejor que los que se venden en el mercado.
ITEM_20150317_000036	Falchion de Comandante
ITEM_20150317_000037	Mirar esta arma genera sospechas sobre su anterior propietario en el pasado. 
ITEM_20150317_000038	Kaskara Vulgar
ITEM_20150317_000039	Moplah
ITEM_20150317_000040	Esta espada combina el ser práctica y estética. 
ITEM_20150317_000041	Gladius Pesado
ITEM_20150317_000042	Falchion
ITEM_20150317_000043	Falchion Pesado
ITEM_20150317_000044	Kaskara
ITEM_20150317_000045	Chinqueda Pesado
ITEM_20150317_000046	Sable Pesado
ITEM_20150317_000047	Shamshir Pesado
ITEM_20150317_000048	Sable de Dunkel
ITEM_20150317_000049	Puñal de Dunkel
ITEM_20150317_000050	Falchion de Dunkel
ITEM_20150317_000051	Kaskara de Dunkel
ITEM_20150317_000052	Cinquedea de Dunkel
ITEM_20150317_000053	Shamshir de Dunkel
ITEM_20150317_000054	Kozuka
ITEM_20150317_000055	No hay informacíon de herramienta disponible
ITEM_20150317_000056	Badelaire
ITEM_20150317_000057	Saif
ITEM_20150317_000058	Colichemarde
ITEM_20150317_000059	Firangi
ITEM_20150317_000060	Espina Cortante
ITEM_20150317_000061	Espada Demion
ITEM_20150317_000062	Espada Maestra
ITEM_20150317_000063	Espada de Panto
ITEM_20150317_000064	Una vulgar espada usada por un Panto. Puedes crear una mejor versión tu mismo. 
ITEM_20150317_000065	Sable Flonas
